C# Code	Java Reference Code	Generated Java Code
"public virtual ListIngestionsResponse ListIngestions(ListIngestionsRequest request){var options = new InvokeOptions();options.RequestMarshaller = ListIngestionsRequestMarshaller.Instance;options.ResponseUnmarshaller = ListIngestionsResponseUnmarshaller.Instance;return Invoke<ListIngestionsResponse>(request, options);}
"	"public ListIngestionsResult listIngestions(ListIngestionsRequest request) {request = beforeClientExecution(request);return executeListIngestions(request);}
"	public ListJobsByDeviceGroupResponse listJobsByDeviceGroup(ListJobsByDeviceGroupRequest request){return hcClient.syncInvokeHttp(request, IoTDriverMeta.listJobsByDeviceGroup);}  C# code: public virtual ListJob
"public QueryParserTokenManager(ICharStream stream, int lexState): this(stream){SwitchTo(lexState);}
"	"public QueryParserTokenManager(CharStream stream, int lexState){this(stream);SwitchTo(lexState);}
"	public void ReInit(ICharStream stream, int lexState, int startLine, int startColumn) {m_lexState = lexState;m_done = false;m_start = 0;m_count = 0;m_token
"public virtual GetShardIteratorResponse GetShardIterator(GetShardIteratorRequest request){var options = new InvokeOptions();options.RequestMarshaller = GetShardIteratorRequestMarshaller.Instance;options.ResponseUnmarshaller = GetShardIteratorResponseUnmarshaller.Instance;return Invoke<GetShardIteratorResponse>(request, options);}
"	"public GetShardIteratorResult getShardIterator(GetShardIteratorRequest request) {request = beforeClientExecution(request);return executeGetShardIterator(request);}
"	public GetShardIteratorResponse getShardIterator(GetShardIteratorRequest request, String shardId, String streamName, String shardIteratorType) {var options = new InvokeOptions();options.requestMarshaller = GetShardIteratorRequestMarshaller.getInstance();options.responseUnmarshaller = GetShardIteratorResponseUnmarshaller.getInstance();return invoke(request, options);}  C# code: public virtual GetShardIteratorResponse GetShardIterator(GetShardIterator
"public ModifyStrategyRequest(): base(""aegis"", ""2016-11-11"", ""ModifyStrategy"", ""vipaegis"", ""openAPI""){Method = MethodType.POST;}
"	"public ModifyStrategyRequest() {super(""aegis"", ""2016-11-11"", ""ModifyStrategy"", ""vipaegis"");setMethod(MethodType.POST);}
"	"public void toMap(HashMap<String, String> map, String prefix) {this.setParamSimple(map, prefix + ""StrategyDescription"", this.strategyDescription);}  C# code: public override void ToMap(Dictionary<string, string> map"
"public override bool ready(){lock (@lock){if (@in == null){throw new System.IO.IOException(""InputStreamReader is closed"");}try{return bytes.hasRemaining() || @in.available() > 0;}catch (System.IO.IOException){return false;}}}
"	"public boolean ready() throws IOException {synchronized (lock) {if (in == null) {throw new IOException(""InputStreamReader is closed"");}try {return bytes.hasRemaining() || in.available() > 0;} catch (IOException e) {return false;}}}
"	"public void reset() throws IOException {if (in == null) {throw new IOException(""InputStreamReader is closed"");}bytes.clear();in.mark(1024);}  C# code: public override void setEncoding(string encoding){if (encoding == null){throw new System.ArgumentNullException(""encoding"");}if (encoding.Equals(""UTF-8"", System.StringComparison.OrdinalIgnoreCase)){encoding = ""UTF-8"";}else if (encoding.Equals(""UTF-16"", System.StringComparison.OrdinalIgnoreCase)){encoding = ""UTF-16"";}else if (encoding.Equals(""UTF-32"", System.StringComparison.OrdinalIgnoreCase)){encoding = ""UTF-32"";}else if (encoding.Equals(""ASCII"", System.StringComparison.OrdinalIgnoreCase)){encoding = ""ASCII"";}else if (encoding.Equals(""BigEndianUnicode"", System.StringComparison.OrdinalIgnoreCase)){encoding = ""BigEndianUnicode"";}else if (encoding.Equals(""UTF7"", System.StringComparison.OrdinalIgnoreCase)){encoding = ""UTF7"";}else if (encoding.Equals(""UTF8"", System.StringComparison.OrdinalIgnoreCase)){encoding = ""UTF8"";}else if (encoding.Equals(""UTF32"", System.StringComparison.OrdinalIgnoreCase)){encoding = ""UTF32"";}else if (encoding.Equals(""UTF16BE"", System.StringComparison.OrdinalIgnoreCase)){encoding = ""UTF16BE"";}else if (encoding.Equals(""UTF16LE"", System.StringComparison.OrdinalIgnoreCase)){encoding = ""UTF16LE"";}else if (encoding.Equals(""UTF8"", System.StringComparison.OrdinalIgnoreCase)){encoding = ""UTF8"";}else if (encoding.Equals(""UTF8"", System.StringComparison.OrdinalIgnoreCase)){encoding = ""UTF8"";}else if (encoding.Equals(""UTF8"", System.StringComparison.OrdinalIgnoreCase)){encoding = ""UTF8"";}else if (encoding"
"protected internal EscherOptRecord GetOptRecord(){return _optRecord;}
"	"public EscherOptRecord getOptRecord() {return _optRecord;}
"	public void serialize(LittleEndianOutput out1) {out1.WriteShort(EscherOptRecord.RECORD_ID);out1.WriteShort(EscherOptRecord.RECORD_VERSION);}  C# code: public override void SerializeBody(ILittleEndianOutput out1){out1.WriteShort(m_maxLevels);out1.WriteShort(m_maxLevels);out1.WriteShort(m_maxLevels);out1.WriteShort(m_maxLevels);out1.WriteShort(m_maxLevels);out1.WriteShort(m_maxLevels);out1.WriteShort(m_maxLevels);out1.WriteShort(m_maxLevels);out1.WriteShort(m_maxLevels);out1.WriteShort(m_maxLevels);out1.WriteShort(m_maxLevels);out1.WriteShort(m_maxLevels);out1.WriteShort(m_maxLevels);out1.WriteShort(m_maxLevels);out1.WriteShort(m_maxLevels);out1.WriteShort(m_maxLevels);out1.WriteShort(m_maxLevels);out1.WriteShort(m_maxLevels);out1.WriteShort(m_maxLevels);out1.WriteShort(m_maxLevels);out1.WriteShort(m_maxLevels);out1.WriteShort(m_maxLevels);out1.WriteShort(m_maxLevels);out1.WriteShort(m_maxLevels);out1.WriteShort(m_maxLevels);out1.WriteShort(m_maxLevels);out1.WriteShort(m_maxLevels);out1.
"public override int read(byte[] buffer, int offset, int length){lock (this){if (buffer == null){throw new System.ArgumentNullException(""buffer == null"");}java.util.Arrays.checkOffsetAndCount(buffer.Length, offset, length);if (length == 0){return 0;}int copylen = count - pos < length ? count - pos : length;{for (int i = 0; i < copylen; i++){buffer[offset + i] = unchecked((byte)this.buffer[pos + i]);}}pos += copylen;return copylen;}}
"	"public synchronized int read(byte[] buffer, int offset, int length) {if (buffer == null) {throw new NullPointerException(""buffer == null"");}Arrays.checkOffsetAndCount(buffer.length, offset, length);if (length == 0) {return 0;}int copylen = count - pos < length ? count - pos : length;for (int i = 0; i < copylen; i++) {buffer[offset + i] = (byte) this.buffer.charAt(pos + i);}pos += copylen;return copylen;}
"	"public void write(int b) throws IOException {if (pos >= buffer.length) {throw new IllegalArgumentException(""pos >= buffer.length"");}this.buffer[pos++] = unchecked((byte)b);}  C# code: public override void write(byte[] b, int off, int len){lock (this){if (b == null){throw new System.ArgumentNullException(""b == null"");}java."
"public OpenNLPSentenceBreakIterator(NLPSentenceDetectorOp sentenceOp){this.sentenceOp = sentenceOp;}
"	"public OpenNLPSentenceBreakIterator(NLPSentenceDetectorOp sentenceOp) {this.sentenceOp = sentenceOp;}
"	public int prevSentence(int start, int limit, int max, int min) {return sentenceOp.prevSentence(start, limit, max, min);}  C# code: public override int PrevSentence(int start, int limit, int max, int min, int minLength){return sentence
"public virtual void print(string str){write(str != null ? str : Sharpen.StringHelper.GetValueOf((object)null));}
"	"public void print(String str) {write(str != null ? str : String.valueOf((Object) null));}
"	public void println(String str) {print(str);write(SystemProperties.getLineSeparator());}  C# code: public virtual void write(string str){if (str == null){return;}if (str.Length == 0){return;}if (str.Length == 1){write(str[0]);return;}if (str.Length == 2){write(str[0]);write(str[1]);return;}if (str.Length == 3){write(str[0]);write(str[1]);write(str[2]);return;}if (str.Length == 4){write(str[0]);write(str[1]);write(str[2]);write(str[3]);return;}if (str.Length == 5){write(str[0]);write(str[1]);write(str[2]);write(str[3]);write(str[4]);return;}if (str.Length == 6){write(str[0]);write(str[1]);write(str[2]);write(str[3]);write(str[4]);write(str[5]);return;}if (str.Length == 7){write(str[0]);write(str[1]);write(str[2]);write(str[3]);write(str[4]);write(str[5]);write(str[6]);return;}if (str.Length == 8){write(str[0]);write(str[1]);write(str[2]);write(str[3]);write(str[4]);write(str[5]);write(str[6]);write(str[7]);return;}if (str.Length == 9){write(str[0]);write(str[1]);write(str[2]);write(str[3]);write(str[4]);write(str[5]);write(str[6]);write(str[7]);write(str[8]);return;}if (str.Length == 10){write(str[0]);write(str[1]);write(str[2]);write(str[3]);write(str[4]);write
"public NotImplementedFunctionException(string functionName, NotImplementedException cause): base(functionName,cause){this.functionName = functionName;}
"	"public NotImplementedFunctionException(String functionName, NotImplementedException cause) {super(functionName, cause);this.functionName = functionName;}
"	public void dispose(boolean disposing, boolean callGC, boolean callFinalize) {if (m_disposed)return;m_disposed = true;if (disposing){if (m_credentials!= null){m_credentials.dispose();m_credentials =
"public override V next(){return this.nextEntry().value;}
"	"public V next() {return super.nextEntry().getValue();}
"	"public void putAll(Map<K, V> map) {if (map == null) {throw new NullPointerException(""map"");}for (Entry<K"
"public override sealed void ReadBytes(byte[] b, int offset, int len, bool useBuffer){int available = bufferLength - bufferPosition;if (len <= available){if (len > 0) {Buffer.BlockCopy(m_buffer, bufferPosition, b, offset, len);}bufferPosition += len;}else{if (available > 0){Buffer.BlockCopy(m_buffer, bufferPosition, b, offset, available);offset += available;len -= available;bufferPosition += available;}if (useBuffer && len < bufferSize){Refill();if (bufferLength < len){Buffer.BlockCopy(m_buffer, 0, b, offset, bufferLength);throw new EndOfStreamException(""read past EOF: "" + this);}else{Buffer.BlockCopy(m_buffer, 0, b, offset, len);bufferPosition = len;}}else{long after = bufferStart + bufferPosition + len;if (after > Length){throw new EndOfStreamException(""read past EOF: "" + this);}ReadInternal(b, offset, len);bufferStart = after;bufferPosition = 0;bufferLength = 0; }}}
"	"public final void readBytes(byte[] b, int offset, int len, boolean useBuffer) throws IOException {int available = bufferLength - bufferPosition;if(len <= available){if(len>0) System.arraycopy(buffer, bufferPosition, b, offset, len);bufferPosition+=len;} else {if(available > 0){System.arraycopy(buffer, bufferPosition, b, offset, available);offset += available;len -= available;bufferPosition += available;}if (useBuffer && len<bufferSize){refill();if(bufferLength<len){System.arraycopy(buffer, 0, b, offset, bufferLength);throw new EOFException(""read past EOF: "" + this);} else {System.arraycopy(buffer, 0, b, offset, len);bufferPosition=len;}} else {long after = bufferStart+bufferPosition+len;if(after > length())throw new EOFException(""read past EOF: "" + this);readInternal(b, offset, len);bufferStart = after;bufferPosition = 0;bufferLength = 0;                    }}}
"	"public void readBytes(byte[] b, int offset, int len, boolean useBuffer) throws IOException {int available = bufferLength - bufferPosition;if (len <= available) {if (len > 0) {System.arraycopy(m_buffer, bufferPosition, b, offset, len);}bufferPosition += len;}else{if (available > 0){System.arraycopy(m_buffer, bufferPosition, b, offset, available);offset += available;len -= available;bufferPosition += available;}if (useBuffer && len < bufferSize) {refill();if (bufferLength < len) {System.arraycopy(m_buffer, 0, b, offset, bufferLength);throw new EOFException(""read past EOF: "" + this);}else{System.arraycopy(m_buffer, 0, b, offset, len);bufferPosition = len;}}else{long after = bufferStart + bufferPosition + len;if (after > Length) {throw new EOFException(""read past EOF: "" + this);}readInternal(b, offset, len);bufferStart = after;bufferPosition = 0;bufferLength = 0; }}}  C# code: public override sealed void ReadInternal(byte[] b, int offset, int len){if (len == 0)return;if (len < 0)throw new ArgumentOutOfRangeException(""len"", ""len must be >= 0"");if (offset < 0)throw new ArgumentOutOfRangeException(""offset"", ""offset must be >= 0"");if (offset + len > b.Length)throw new ArgumentOutOfRangeException(""offset + len"", ""offset + len must be <= b.Length"");if (len > bufferLength) {if (bufferLength > 0) {Buffer.BlockCopy(m_buffer, 0, b, offset, bufferLength);offset += bufferLength;len -= bufferLength;}if (len > bufferSize) {long after = bufferStart + bufferPosition + len;if (after > Length) {throw new EOFException(""read past EOF: "" + this);}ReadInternal(b, offset, len);bufferStart = after;bufferPosition = 0;bufferLength = 0; }else{refill();if (bufferLength < len) {Buffer.BlockCopy(m_buffer, 0, b, offset, bufferLength);throw new EOFException(""read past EOF: "" + this);}else{Buffer.BlockCopy"
"public virtual TagQueueResponse TagQueue(TagQueueRequest request){var options = new InvokeOptions();options.RequestMarshaller = TagQueueRequestMarshaller.Instance;options.ResponseUnmarshaller = TagQueueResponseUnmarshaller.Instance;return Invoke<TagQueueResponse>(request, options);}
"	"public TagQueueResult tagQueue(TagQueueRequest request) {request = beforeClientExecution(request);return executeTagQueue(request);}
"	public TagQueueResponse tagQueue(TagQueue
"public override void Remove(){throw new NotSupportedException();}
"	"public void remove() {throw new UnsupportedOperationException();}
"	"public void setLevelForDistance(int level, double width, double height) {if (level < 1 || level > maxLevels) {throw new IllegalArgumentException(""level must be between 1 and "" + maxLevels);}if (width == 0 || height == 0) {throw new IllegalArgumentException(""width and height must be greater than 0"");}levelW[level - 1] = width;levelH[level - 1] = height;}  C# code: public override void SetLevelForDistance(int level, double width, double height, double precision){if (level < 1 || level > m_maxLevels){throw new ArgumentException(""level must be between 1 and "" + m_maxLevels);}if (width == 0 || height == 0){throw new ArgumentException(""width and height must be greater than 0"");}if (precision < 0 || precision > 1){throw new ArgumentException(""precision must be between 0 and 1"");}level"
"public virtual ModifyCacheSubnetGroupResponse ModifyCacheSubnetGroup(ModifyCacheSubnetGroupRequest request){var options = new InvokeOptions();options.RequestMarshaller = ModifyCacheSubnetGroupRequestMarshaller.Instance;options.ResponseUnmarshaller = ModifyCacheSubnetGroupResponseUnmarshaller.Instance;return Invoke<ModifyCacheSubnetGroupResponse>(request, options);}
"	"public CacheSubnetGroup modifyCacheSubnetGroup(ModifyCacheSubnetGroupRequest request) {request = beforeClientExecution(request);return executeModifyCacheSubnetGroup(request);}
"	"public ModifyCacheSubnetGroupResponse modifyCacheSubnetGroup(ModifyCacheSubnetGroupRequest request){return hcClient.syncInvokeHttp(request, IotMeta.modifyCacheSubnetGroup);}  C# code: public virtual ModifyCacheSubnetGroupResponse ModifyCacheSubnetGroup(ModifyCacheSubnetGroupRequest request){var runtime = new Dictionary<string, string> { {""timeouted"", ""retry""}, {""readTimeout"", AlibabaCloud.TeaUtil.Common.DefaultNumber(runtime.ReadTimeout, _readTimeout)}, {""connectTimeout"", AlibabaCloud.TeaUtil.Common.DefaultNumber(runtime.ConnectTimeout, _connectTimeout)}, {""localAddr"", AlibabaCloud.TeaUtil.Common.DefaultString(runtime.LocalAddr, _localAddr)}, {""httpProxy"", AlibabaCloud.TeaUtil.Common.DefaultString(runtime.HttpProxy, _httpProxy)}, {""httpsProxy"", AlibabaCloud.TeaUtil.Common.DefaultString(runtime.HttpsProxy, _httpsProxy)}, {""noProxy"", AlibabaCloud.TeaUtil.Common.DefaultString(runtime.NoProxy, _noProxy)}, {""socks5Proxy"", AlibabaCloud.TeaUtil.Common.DefaultString(runtime.Socks5Proxy, _socks5Proxy)}, {""socks5NetWork"", AlibabaCloud.TeaUtil.Common.DefaultString(runtime.Socks5NetWork, _socks5NetWork)}, {""maxIdleConns"", AlibabaCloud.TeaUtil.Common.DefaultNumber(runtime.MaxIdleConns, _maxIdleConns)}, {""retry"", new Dictionary<string, object> { {""retryable"", runtime.Autoretry}, {""maxAttempts"", AlibabaCloud.TeaUtil.Common.DefaultNumber(runtime.MaxAttempts, 3)}}} };var _lastRequest = null;var _lastException = null;var _now = System.DateTime.Now;var _retryTimes = 0;while (TeaCore.AllowRetry((IDictionary) runtime_[""retry""], _retryTimes, _now)){if (_retryTimes > 0){var backoffTime = TeaCore.GetBackoffTime((IDictionary)runtime_[""backoff""], _retryTimes);if (backoffTime > 0){TeaCore.Sleep(backoffTime);} }_retryTimes = _retryTimes + 1;try{_lastRequest = request.Clone();_lastException = null;TeaResponse response = TeaCore.DoAction(request,"
"public override void SetParams(string @params){base.SetParams(@params);culture = """";string ignore;StringTokenizer st = new StringTokenizer(@params, "","");if (st.MoveNext())culture = st.Current;if (st.MoveNext())culture += ""-"" + st.Current;if (st.MoveNext())ignore = st.Current;}
"	"public void setParams(String params) {super.setParams(params);language = country = variant = """";StringTokenizer st = new StringTokenizer(params, "","");if (st.hasMoreTokens())language = st.nextToken();if (st.hasMoreTokens())country = st.nextToken();if (st.hasMoreTokens())variant = st.nextToken();}
"	"public void setParams(String params) {super.setParams(params);String[] parts = params.split("","");if (parts.length > 0)culture = parts[0"
"public virtual DeleteDocumentationVersionResponse DeleteDocumentationVersion(DeleteDocumentationVersionRequest request){var options = new InvokeOptions();options.RequestMarshaller = DeleteDocumentationVersionRequestMarshaller.Instance;options.ResponseUnmarshaller = DeleteDocumentationVersionResponseUnmarshaller.Instance;return Invoke<DeleteDocumentationVersionResponse>(request, options);}
"	"public DeleteDocumentationVersionResult deleteDocumentationVersion(DeleteDocumentationVersionRequest request) {request = beforeClientExecution(request);return executeDeleteDocumentationVersion(request);}
"	public DeleteIntegrationResponse deleteIntegration(DeleteIntegrationRequest request, GenericInvokeRequest invokeRequest, RuntimeOptions runtime){return hc
"public override bool Equals(object obj){if (!(obj is FacetLabel)){return false;}FacetLabel other = (FacetLabel)obj;if (Length != other.Length){return false; }for (int i = Length - 1; i >= 0; i--){if (!Components[i].Equals(other.Components[i], StringComparison.Ordinal)){return false;}}return true;}
"	"public boolean equals(Object obj) {if (!(obj instanceof FacetLabel)) {return false;}FacetLabel other = (FacetLabel) obj;if (length != other.length) {return false; }for (int i = length - 1; i >= 0; i--) {if (!components[i].equals(other.components[i])) {return false;}}return true;}
"	public void read(BinaryReader reader) {length = reader.readInt();components = new String[length];for (int i = 0; i < length; i++) {components[i] = reader.readString();} }  C# code: public override void Write
"public virtual GetInstanceAccessDetailsResponse GetInstanceAccessDetails(GetInstanceAccessDetailsRequest request){var options = new InvokeOptions();options.RequestMarshaller = GetInstanceAccessDetailsRequestMarshaller.Instance;options.ResponseUnmarshaller = GetInstanceAccessDetailsResponseUnmarshaller.Instance;return Invoke<GetInstanceAccessDetailsResponse>(request, options);}
"	"public GetInstanceAccessDetailsResult getInstanceAccessDetails(GetInstanceAccessDetailsRequest request) {request = beforeClientExecution(request);return executeGetInstanceAccessDetails(request);}
"	"public GetInstanceTypesFromInstanceFamilyResponse getInstanceTypesFromInstanceFamily(GetInstanceTypesFromInstanceFamilyRequest request) {final com.aliyuncs.RpcRequest httpRequest = new com.aliyuncs.RpcRequest(""Ecs"", ""2014-05-26"", ""GetInstanceTypesFromInstanceFamily"", ""ecs"", ""openAPI"");httpRequest.setMethod(com.aliyuncs.http.MethodType.POST);httpRequest.setEndpoint(""ecs.aliyuncs.com"");httpRequest.addQueryParameters(com.aliyuncs."
"public HSSFPolygon CreatePolygon(HSSFChildAnchor anchor){HSSFPolygon shape = new HSSFPolygon(this, anchor);shape.Parent = this;shape.Anchor = anchor;shapes.Add(shape);OnCreate(shape);return shape;}
"	"public HSSFPolygon createPolygon(HSSFChildAnchor anchor) {HSSFPolygon shape = new HSSFPolygon(this, anchor);shape.setParent(this);shape.setAnchor(anchor);shapes.add(shape);onCreate(shape);return shape;}
"	public HSSFSimpleShape createSimpleShape(HSSFChildAnchor anchor, HSSFSimpleShape shape, HSSFSimpleShape shape1) {shape.setParent(this);shape.setAnchor(anchor);shapes.add(shape);onCreate(shape);shape1.setParent(this);shape1.setAnchor(anchor);shapes.add(shape1);onCreate(shape1);return shape;}  C# code: public HSSFSimpleShape CreateSimpleShape(HSSFChildAnchor anchor, HSSF
"public String GetSheetName(int sheetIndex){return GetBoundSheetRec(sheetIndex).Sheetname;}
"	"public String getSheetName(int sheetIndex) {return getBoundSheetRec(sheetIndex).getSheetname();}
"	public int getSheetIndex(String sheetName, boolean caseSensitive, boolean ignoreMissing, boolean create, boolean notify, boolean notifyDataFormatChanged) {return getSheetIndex
"public virtual GetDashboardResponse GetDashboard(GetDashboardRequest request){var options = new InvokeOptions();options.RequestMarshaller = GetDashboardRequestMarshaller.Instance;options.ResponseUnmarshaller = GetDashboardResponseUnmarshaller.Instance;return Invoke<GetDashboardResponse>(request, options);}
"	"public GetDashboardResult getDashboard(GetDashboardRequest request) {request = beforeClientExecution(request);return executeGetDashboard(request);}
"	public GetDashboardResponse getDashboard(GetDashboardRequest request) {  InvokeOptions options = new Invoke
"public virtual AssociateSigninDelegateGroupsWithAccountResponse AssociateSigninDelegateGroupsWithAccount(AssociateSigninDelegateGroupsWithAccountRequest request){var options = new InvokeOptions();options.RequestMarshaller = AssociateSigninDelegateGroupsWithAccountRequestMarshaller.Instance;options.ResponseUnmarshaller = AssociateSigninDelegateGroupsWithAccountResponseUnmarshaller.Instance;return Invoke<AssociateSigninDelegateGroupsWithAccountResponse>(request, options);}
"	"public AssociateSigninDelegateGroupsWithAccountResult associateSigninDelegateGroupsWithAccount(AssociateSigninDelegateGroupsWithAccountRequest request) {request = beforeClientExecution(request);return executeAssociateSigninDelegateGroupsWithAccount(request);}
"	public AssociateSigninDelegateGroupsWithAccountResponse associateSigninDelegateGroupsWithAccount(AssociateSigninDelegateGroupsWithAccountRequest request) {final InvokeOptions options = new InvokeOptions();options.requestMarshaller = AssociateSigninDelegateGroupsWithAccountRequestMarshaller.getInstance();options.responseUnmarshaller = AssociateSigninDelegateGroupsWithAccountResponseUnmarshaller.getInstance();return invoke(request, options);}  C# code: public virtual AssociateSigninDelegateGroupsWithAccountResponse AssociateSigninDelegateGroupsWithAccount(AssociateSigninDelegateGroupsWithAccountRequest request){var options = new InvokeOptions();options.RequestMarshaller = AssociateSigninDelegateGroupsWithAccountRequestMarshaller.Instance;options.ResponseUnmarshaller = Associ
